"","Date","Code","SampleID","i161","i196","Ratio","nGrains","calibrated","SampleCode","Frame","Treatment","TreeNumber","Sampling_Number","calBatch"
"140",2025-03-04,3230,"J387",3093469,5503571,0.562083963303099,150,0.531306202044613,"A_CON_006_(2nd sampling)","A","CON","006","02","2025-03-04"
"141",2025-03-04,3231,"J390",2459471,5219377,0.471219266207442,150,0.487113722456864,"B_UV_014_(1st sampling)","B","UV","014","01","2025-03-04"
"142",2025-03-04,3232,"J393",2823356,5357535,0.526987877820677,150,0.51423705317969,"B_CON_016_(1st sampling)","B","CON","016","01","2025-03-04"
"143",2025-03-04,3233,"J396",2770033,5402988,0.512685388159293,150,0.50728096899499,"B_CON_016_(2nd sampling)","B","CON","016","02","2025-03-04"
"144",2025-03-04,3234,"J399",2827366,5354389,0.52804643069452,150,0.514751885427693,"C_CON_028_(1st sampling)","C","CON","028","01","2025-03-04"
"145",2025-03-04,3235,"J402",2259062,5094995,0.44338846259908,150,0.473578078145208,"C_CON_028_(2nd sampling)","C","CON","028","02","2025-03-04"
"146",2025-03-04,3236,"J405",3180882,5312187,0.598789538094197,150,0.549158133725016,"C_CON_029_(1st sampling)","C","CON","029","01","2025-03-04"
"147",2025-03-04,3237,"J408",2831584,5383402,0.525984126765937,150,0.513748874058254,"C_CON_029_(2nd sampling)","C","CON","029","02","2025-03-04"
"148",2025-03-04,3238,"J411",2679574,5368491,0.499129829965255,150,0.500688158498303,"C_CON_029_(3rd sampling)","C","CON","029","03","2025-03-04"
"149",2025-03-04,3239,"J414",2986388,5218066,0.572317023203616,150,0.536283099621212,"C_CON_030_(1st sampling)","C","CON","030","01","2025-03-04"
"150",2025-03-04,3240,"J417",2482214,4628872,0.536245979582067,150,0.518739775206935,"C_CON_030_(2nd sampling)","C","CON","030","02","2025-03-04"
"151",2025-03-04,3241,"J420",2825639,4698419,0.601402088660037,150,0.550428760175586,"D_UV_031_(1st sampling)","D","UV","031","01","2025-03-04"
"152",2025-03-04,3242,"J423",2985879,4891723,0.610394129021615,150,0.55480208196978,"D_UV_031_(2nd sampling)","D","UV","031","02","2025-03-04"
"153",2025-03-05,3253,"J426",2415413,5121933,0.471582310818982,150,0.508296767424511,"D_UV_031_(3rd sampling)","D","UV","031","03","2025-03-05"
"154",2025-03-05,3254,"J429",2384599,5124966,0.46529069656267,150,0.503859249271548,"D_UV_032_(1st sampling)","D","UV","032","01","2025-03-05"
"155",2025-03-05,3255,"J432",2299353,5241760,0.438660488080339,150,0.485076782841895,"D_UV_032_(2nd sampling)","D","UV","032","02","2025-03-05"
"156",2025-03-05,3256,"J435",2688454,5302373,0.507028456881476,150,0.53329717434664,"D_UV_033_(1st sampling)","D","UV","033","01","2025-03-05"
"157",2025-03-05,3257,"J438",2343862,5146038,0.455469236721532,150,0.496932107117226,"D_UV_033_(2nd sampling)","D","UV","033","02","2025-03-05"
"158",2025-03-05,3258,"J441",2793160,5167492,0.540525268350681,150,0.556922702375767,"D_UV_034_(1st sampling)","D","UV","034","01","2025-03-05"
"159",2025-03-05,3259,"J444",2810894,5121706,0.548819865880626,150,0.562772938199383,"D_UV_034_(2nd sampling)","D","UV","034","02","2025-03-05"
"160",2025-03-05,3260,"J447",2320263,5503773,0.421576798316355,150,0.473027540730269,"D_UV_035_(1st sampling)","D","UV","035","01","2025-03-05"
"161",2025-03-05,3261,"J450",1775194,5432334,0.326782926086651,150,0.406168780534206,"D_UV_035_(2nd sampling)","D","UV","035","02","2025-03-05"
"162",2025-03-05,3262,"J453",2430374,5225866,0.465066268442398,150,0.503700958598095,"D_CON_036_(1st sampling)","D","CON","036","01","2025-03-05"
"163",2025-03-05,3263,"J456",2351074,5066384,0.464053652466927,150,0.502986753691362,"D_CON_036_(2nd sampling)","D","CON","036","02","2025-03-05"
"164",2025-03-05,3264,"J459",1980177,5080779,0.389738856974492,150,0.450572025038771,"D_CON_036_(3rd sampling)","D","CON","036","03","2025-03-05"
"165",2025-03-05,3265,"J462",2100957,4319684,0.486368215823194,150,0.51872536638039,"D_CON_040_(1st sampling)","D","CON","040","01","2025-03-05"
"166",2025-03-05,3266,"J513",3299537,5120145,0.644422570063934,150,0.630202173051169,"D_CON_040_(2nd sampling)","D","CON","040","02","2025-03-05"
"167",2025-03-05,3267,"J516",3023510,5161263,0.585808163621966,150,0.588861035146792,"E_CON_047_(1st sampling)","E","CON","047","01","2025-03-05"
"168",2025-03-05,3268,"J519",2528924,4832546,0.52331090071362,150,0.544781292275078,"E_CON_048_(1st sampling)","E","CON","048","01","2025-03-05"
"169",2025-03-07,3279,"J522",3134170,5129251,0.611038531746643,150,0.599783402606134,"E_CON_048_(2nd sampling)","E","CON","048","02","2025-03-07"
"170",2025-03-07,3280,"J525",2727441,4881435,0.558737543365834,150,0.56620946208849,"E_CON_048_(3rd sampling)","E","CON","048","03","2025-03-07"
"171",2025-03-07,3281,"J528",2266509,4840373,0.468250897193253,150,0.508122734279077,"F_UV_053_(1st sampling)","F","UV","053","01","2025-03-07"
